,begin,end,proba
0,2009-04-16 23:20:00,2009-04-20 16:20:00,
1,2009-04-28 18:00:00,2009-05-01 21:30:00,
2,2009-05-30 04:30:00,2009-05-30 19:30:00,
3,2009-05-09 17:00:00,2009-05-10 20:00:00,
4,2009-04-21 00:00:00,2009-04-22 00:00:00,
5,2007-03-20 07:00:00,2007-03-20 14:00:00,
6,2007-03-21 11:00:00,2007-03-21 18:00:00,
7,2007-04-06 00:00:00,2007-04-06 07:00:00,
8,2007-04-13 19:00:00,2007-04-13 23:30:00,
9,2007-04-24 00:00:00,2007-05-09 04:00:00,
10,2007-05-18 22:00:00,2007-05-19 00:05:00,
11,2007-09-04 08:00:00,2007-09-05 08:00:00,
12,2007-09-12 07:00:00,2007-10-24 00:00:00,
13,2007-10-24 20:30:00,2007-10-25 02:30:00,
14,2007-10-28 14:00:00,2007-10-29 02:00:00,
15,2007-11-01 19:00:00,2007-11-02 03:00:00,
16,2007-11-09 11:00:00,2007-11-10 02:00:00,
17,2007-11-10 16:00:00,2007-11-14 02:00:00,
18,2007-11-14 14:00:00,2007-11-14 21:00:00,
19,2007-11-21 00:00:00,2007-11-22 02:00:00,
20,2007-12-03 07:00:00,2007-12-04 01:00:00,
21,2007-12-07 18:00:00,2007-12-07 23:30:00,
22,2007-12-09 00:00:00,2007-12-09 19:00:00,
23,2007-12-10 11:00:00,2007-12-11 22:00:00,
24,2007-12-14 21:00:00,2007-12-15 18:00:00,
25,2008-03-18 19:00:00,2008-03-19 02:00:00,
26,2008-05-08 07:00:00,2008-05-08 19:00:00,
27,2008-05-11 17:00:00,2008-05-11 23:00:00,
28,2008-06-07 15:00:00,2008-06-12 13:00:00,
29,2008-06-15 20:00:00,2008-06-16 11:00:00,
30,2008-06-19 17:00:00,2008-06-20 09:00:00,
31,2008-06-23 11:00:00,2008-06-24 07:00:00,
32,2008-06-27 14:00:00,2008-06-28 06:00:00,
33,2008-07-01 08:00:00,2008-07-02 04:00:00,
34,2008-07-05 01:00:00,2008-07-06 22:00:00,
35,2008-07-08 20:00:00,2008-07-09 23:30:00,
36,2008-07-13 07:00:00,2008-07-13 22:00:00,
37,2008-07-17 02:00:00,2008-07-17 13:00:00,
38,2008-07-20 16:00:00,2008-07-21 19:00:00,
39,2008-07-24 16:00:00,2008-07-25 03:00:00,
40,2008-07-28 07:00:00,2008-07-29 02:00:00,
41,2008-07-31 20:00:00,2008-08-01 19:00:00,
42,2008-08-04 17:00:00,2008-08-05 15:00:00,
43,2008-08-08 15:00:00,2008-08-09 07:00:00,
44,2008-08-16 04:00:00,2008-08-16 21:00:00,
45,2008-08-12 15:00:00,2008-08-13 02:00:00,
46,2008-08-17 03:00:00,2008-08-17 19:00:00,
47,2008-08-28 08:00:00,2008-08-28 19:00:00,
48,2008-10-02 15:00:00,2008-10-02 21:00:00,
49,2008-10-06 14:00:00,2008-10-07 02:00:00,
50,2008-10-17 21:00:00,2008-10-19 02:00:00,
51,2008-10-22 15:00:00,2008-10-22 23:00:00,
52,2008-10-26 12:00:00,2008-10-27 12:00:00,
